segment_ID,road_importance,nbr_carcasses,long_midpoint,lat_midpoint,length,distance_water_km,distance_amenity_km,sparse_open_grassland,dense_closed_grassland,sparse_open_shrubland,dense_closed_shrubland,woodland,forest,water,bare_ground,grassland,shrubland
4_1,minor_road,0,34.7917888384661,-2.7561803663858604,0.2427033512341611,0.13153638752531255,-0.9221700479942319,-0.3387899222225378,0.2442963982896608,1.6295282602753534,1.5082695658765315,-0.6831561348232613,-0.24646697941648005,-0.05475807059424555,-0.0697669173867885,0.02105884724956968,1.84623306982473
4_2,minor_road,0,34.80605478530407,-2.7401278015239323,0.20547771951131114,0.007714325635456601,-0.4693307907861433,-0.6036747469494118,0.6807378571892077,0.9618195308285435,0.8068710475762514,-0.7310343321469978,-0.24646697941648005,-0.05475807059424555,-0.0697669173867885,0.31212255431576214,1.0097337636735684
4_3,minor_road,0,34.80182367289314,-2.724486381302946,0.23507850780723366,-0.015730109845753362,-0.3175584263686381,-0.19291490965519492,0.4850342726949362,0.04355049696208948,0.7201956880671285,-0.7222664227841813,-0.24646697941648005,-0.05475807059424555,-0.0697669173867885,0.3990190975859453,0.7016519295432848
4_4,minor_road,0,34.78603193635214,-2.7109573272908905,-1.055327783857836,0.12306390343633766,-0.27728125635028755,0.11928767089251911,0.454908633772558,-0.4242026999121085,0.24026075278900444,-0.7534549332812568,-0.24646697941648005,-0.05475807059424555,-0.0697669173867885,0.5977808864918908,0.1266110327998149
5_1,minor_road,0,34.76453097953989,-2.775746948363058,0.21127259971984733,-0.16125912215096538,-0.994579732319634,-0.01616938720746687,0.6870928601224887,-0.4242026999121085,-0.4442400236378952,-0.700527126041312,-0.24646697941648005,-0.05475807059424555,-0.0697669173867885,0.7566906086971551,-0.5301264518495403
5_2,minor_road,0,34.749688025269926,-2.779401213871545,0.198126621326047,-0.6606341179794208,-0.8334709589727349,-0.49971366724372013,0.8365988353670076,-0.4242026999121085,-0.4442188910454475,-0.44983836552300593,-0.24646697941648005,-0.05475807059424555,-0.0697669173867885,0.563911968329394,-0.5301061763931987
5_3,minor_road,0,34.745694005338294,-2.7596334199826584,0.13739591481367164,-0.6383963771977983,-0.9020824990509622,1.4688160962524341,-0.41959886403801433,-0.4242026999121085,-0.3158083039862476,-0.5769752465101782,-0.24646697941648005,-0.05475807059424555,-0.0697669173867885,0.6242303239025552,-0.4069039115428649
5_4,minor_road,0,34.7465832776875,-2.738764838849065,0.16303925558140367,-0.69134017436396,-0.6199790107594917,0.6455372267705027,0.3050910517613217,-0.4242026999121085,-0.5286626345237248,-0.7534549332812568,-0.24646697941648005,-0.05475807059424555,-0.0697669173867885,0.822009352650161,-0.611124889002682
5_5,minor_road,0,34.754934427250184,-2.7198022896715113,0.18770391536335299,-0.7019038608751604,-0.40288616914130254,0.1794989635806507,0.6039431718030129,-0.4242026999121085,-0.4852737581996684,-0.7534549332812568,-0.24646697941648005,-0.05475807059424555,-0.0697669173867885,0.8093565690998515,-0.56949586171718
5_6,minor_road,0,34.765949619473936,-2.701441815923211,0.18137271047117817,-0.6398931574967882,-0.03359008865069062,1.2963224017627772,-0.2519073772800918,-0.4242026999121085,-0.05336789606579176,-0.7534549332812568,-0.24646697941648005,-0.05475807059424555,-0.0697669173867885,0.6834069743950246,-0.15510806367294327
5_7,minor_road,0,34.77706154070512,-2.6829858806180154,-1.2417691118865584,-0.5982797315060719,0.02134090146440533,-0.4266302039896658,0.9907189710545271,-0.4242026999121085,-0.4215098445098843,-0.7534549332812568,-0.24646697941648005,-0.05475807059424555,-0.0697669173867885,0.7907621489029063,-0.5083182068040311
6_1,minor_road,0,34.78754494566964,-2.6495718449863466,0.14582125608148333,-0.5674180065729596,0.20395903727220385,-0.5492683211074256,0.8296097060888332,-0.34381809204687425,-0.3785036405436628,-0.7279905094927603,-0.24646697941648005,21.77079378122624,-0.0697669173867885,0.5191938992152874,-0.4473668196036268
